loss,accuracy,lr
0.38859879970550537,0.7944444417953491,0.001
0.22893229126930237,0.9166666865348816,0.001
0.18021272122859955,0.9277777671813965,0.001
0.09809216111898422,0.9722222089767456,0.001
0.054633814841508865,0.9833333492279053,0.001
0.03247307613492012,0.9944444298744202,0.001
0.016322439536452293,1.0,0.001
0.009683791548013687,1.0,0.001
0.008579730987548828,1.0,0.001
0.004418359138071537,1.0,0.001
0.003818812081590295,1.0,0.001
0.0031901730690151453,1.0,0.001
0.002018723636865616,1.0,0.001
0.006758964154869318,1.0,0.001
0.0014725943328812718,1.0,0.001
0.0025880911853164434,1.0,0.001
0.004243199713528156,1.0,0.001
0.0015463284216821194,1.0,0.001
0.004147515166550875,1.0,0.001
0.0014158568810671568,1.0,0.001
0.0013443102361634374,1.0,0.001
0.0022447716910392046,1.0,0.001
0.0019669970497488976,1.0,0.001
0.004088625777512789,1.0,0.001
0.0008797611808404326,1.0,0.001
0.0009145094081759453,1.0,0.001
0.0010695726377889514,1.0,0.001
0.0005445455317385495,1.0,0.001
0.0005736256134696305,1.0,0.001
0.0006303299451246858,1.0,0.001
0.0004917113110423088,1.0,0.001
0.004010916221886873,1.0,0.001
0.0030585152562707663,1.0,0.001
0.0013141779927536845,1.0,0.001
0.0007353222463279963,1.0,0.001
0.0008450113818980753,1.0,0.001
0.0009680751245468855,1.0,0.001
0.0024393810890614986,1.0,0.001
0.0006323621491901577,1.0,0.001
0.0008448858861811459,1.0,0.001
0.0012438650010153651,1.0,0.001
0.0004099089710507542,1.0,0.001
0.000420013559050858,1.0,0.001
0.00027517753187566996,1.0,0.001
0.0003576675080694258,1.0,0.001
0.0009876519907265902,1.0,0.001
0.00031070588738657534,1.0,0.001
0.0005089894984848797,1.0,0.001
0.0001873715955298394,1.0,0.001
0.00019221939146518707,1.0,0.001
0.0005730431876145303,1.0,0.001
0.00022271514171734452,1.0,0.001
0.0001596347865415737,1.0,0.001
0.0002268023235956207,1.0,0.001
0.00041210855124518275,1.0,0.001
0.00036093208473175764,1.0,0.001
0.00015932104724925011,1.0,0.001
0.00015503063332289457,1.0,0.001
0.00014015955093782395,1.0,0.001
0.0002668332599569112,1.0,0.001
0.0002396050258539617,1.0,0.001
