loss,accuracy,lr
0.7423821091651917,0.3333333432674408,0.001
0.2543850243091583,0.9722222089767456,0.001
0.14419911801815033,0.9722222089767456,0.001
0.08736585080623627,0.9722222089767456,0.001
0.049577753990888596,1.0,0.001
0.031298935413360596,1.0,0.001
0.020906684920191765,1.0,0.001
0.01410279143601656,1.0,0.001
0.010052154771983624,1.0,0.001
0.007623807527124882,1.0,0.001
0.006003545597195625,1.0,0.001
0.004769893363118172,1.0,0.001
0.003827515058219433,1.0,0.001
0.0031647728756070137,1.0,0.001
0.0027366294525563717,1.0,0.001
0.002455398440361023,1.0,0.001
0.002234123647212982,1.0,0.001
0.002021445194259286,1.0,0.001
0.0018039228161796927,1.0,0.001
0.001593508874066174,1.0,0.001
0.0014052926562726498,1.0,0.001
0.0012511448003351688,1.0,0.001
0.0011323450598865747,1.0,0.001
0.0010436688316985965,1.0,0.001
0.0009770514443516731,1.0,0.001
0.0009247246780432761,1.0,0.001
0.0008796713082119823,1.0,0.001
0.0008367764530703425,1.0,0.001
0.0007938262424431741,1.0,0.001
0.000750633655115962,1.0,0.001
0.0007081066141836345,1.0,0.001
0.0006675159675069153,1.0,0.001
0.0006301929242908955,1.0,0.001
0.0005968702607788146,1.0,0.001
0.0005675761494785547,1.0,0.001
0.0005418730434030294,1.0,0.001
0.0005189827061258256,1.0,0.001
0.0004981132224202156,1.0,0.001
0.0004786968056578189,1.0,0.001
0.0004602248372975737,1.0,0.001
0.00044265162432566285,1.0,0.001
0.0004258979170117527,1.0,0.001
0.00041021546348929405,1.0,0.001
0.0003957267908845097,1.0,0.001
0.0003825048916041851,1.0,0.001
0.0003705830604303628,1.0,0.001
0.00035988204763270915,1.0,0.001
0.00035018037306144834,1.0,0.001
0.0003413325466681272,1.0,0.001
0.00033309057471342385,1.0,0.001
0.0003253188624512404,1.0,0.001
0.0003178090264555067,1.0,0.001
0.0003105444775428623,1.0,0.001
0.00030344564584083855,1.0,0.001
0.00029651590739376843,1.0,0.001
0.00028980139177292585,1.0,0.001
0.0002833053295034915,1.0,0.001
0.00027708389097824693,1.0,0.001
0.0002711602137424052,1.0,0.001
0.0002655342104844749,1.0,0.001
0.00026021915255114436,1.0,0.001
0.0002551951911300421,1.0,0.001
0.0002503961732145399,1.0,0.001
0.00024584188940934837,1.0,0.001
0.00024150265380740166,1.0,0.001
0.00023733876878395677,1.0,0.001
0.00023330711701419204,1.0,0.001
0.00022943431395106018,1.0,0.001
0.00022568387794308364,1.0,0.001
0.00022207241272553802,1.0,0.001
0.0002185535995522514,1.0,0.001
0.00021515721164178103,1.0,0.001
0.00021187664242461324,1.0,0.001
0.0002087086031679064,1.0,0.001
0.0002056530793197453,1.0,0.001
0.00020268693333491683,1.0,0.001
0.0001998134539462626,1.0,0.001
0.00019702276040334255,1.0,0.001
0.00019432144472375512,1.0,0.001
0.00019167971913702786,1.0,0.001
0.00018911414372269064,1.0,0.001
0.00018659161287359893,1.0,0.001
0.00018414855003356934,1.0,0.001
